STT,year,location_code,Tong_Import,Tong_Export,Balance
1,1962,AGO,120358039,132183456,11825417
2,1962,ALB,8720776,1996763,-6724013
3,1962,AND,0,59746,59746
4,1962,ANT,740418287,673955928,-66462359
5,1962,ARE,2111,2254,143
6,1962,ARG,1310910750,1413246938,102336188
7,1962,ATG,6800,0,-6800
8,1962,AUS,1741707975,1914505863,172797888
9,1962,AUT,1246727905,924054095,-322673810
10,1962,BDI,10412942,4575152,-5837790
11,1962,BEL,4413329241,4150377338,-262951903
12,1962,BEN,26226101,13126330,-13099771
13,1962,BFA,26919001,13286946,-13632055
14,1962,BGR,84223573,85552981,1329408
15,1962,BHR,61877970,142056391,80178421
16,1962,BHS,125678488,11628804,-114049684
17,1962,BLZ,95947,58701,-37246
18,1962,BMU,98444755,10247287,-88197468
19,1962,BOL,84988064,57177424,-27810640
20,1962,BRA,1345794938,1318518057,-27276881
21,1962,BRB,31132713,13010469,-18122244
22,1962,BRN,13785481,7564540,-6220941
23,1962,CAF,19126647,10515351,-8611296
24,1962,CAN,5590598638,6128864196,538265558
25,1962,CHE,3092198532,2147492138,-944706394
26,1962,CHL,519112569,604880338,85767769
27,1962,CHN,418152477,551122307,132969830
28,1962,CIV,145653348,220456347,74802999
29,1962,CMR,94383366,136320554,41937188
30,1962,COD,198631950,359365421,160733471
31,1962,COG,55340848,33521181,-21819667
32,1962,COK,49399,44460,-4939
33,1962,COL,458119977,478563422,20443445
34,1962,COM,4175170,162494,-4012676
35,1962,CPV,1190272,34535,-1155737
36,1962,CRI,98221054,78336970,-19884084
37,1962,CUB,100847210,135561825,34714615
38,1962,CYP,101042837,55183415,-45859422
39,1962,DEU,11232621512,13228314430,1995692918
40,1962,DJI,14480069,1697170,-12782899
41,1962,DMA,0,54202,54202
42,1962,DNK,2005329711,1595388076,-409941635
43,1962,DOM,129798079,184943461,55145382
44,1962,DZA,709298069,789359549,80061480
45,1962,ECU,100756676,141543861,40787185
46,1962,EGY,561679511,199159570,-362519941
47,1962,ESP,1591722613,882579333,-709143280
48,1962,ETH,98149051,78145974,-20003077
49,1962,FIN,866203272,849867120,-16336152
50,1962,FJI,19049413,13963367,-5086046
51,1962,FRA,7099360125,7029985273,-69374852
52,1962,FRO,0,12818,12818
53,1962,GAB,32581248,74356405,41775157
54,1962,GBR,10987945098,10477403658,-510541440
55,1962,GHA,290771305,278962461,-11808844
56,1962,GIB,7963967,19692,-7944275
57,1962,GIN,28066227,32801790,4735563
58,1962,GMB,8255232,9843075,1587843
59,1962,GNB,17172148,14743676,-2428472
60,1962,GNQ,7835799,1209481,-6626318
61,1962,GRC,656008652,240083180,-415925472
62,1962,GRL,1196299,0,-1196299
63,1962,GTM,115470462,125016276,9545814
64,1962,GUY,49945453,74422524,24477071
65,1962,HKG,1100569609,706877179,-393692430
66,1962,HND,63714349,56059716,-7654633
67,1962,HTI,37057395,43909554,6852159
68,1962,HUN,208423550,154915558,-53507992
69,1962,IDN,599499017,681799120,82300103
70,1962,IND,1947369177,1315686145,-631683032
71,1962,IRL,646483647,444766072,-201717575
